"","CO2","HR","OCC","DAY"
"1",0.956896551724138,0.801724137931034,1,2
"2",0.96551724137931,0.931034482758621,1,2
"3",0.991379310344828,1,1,2
"4",1,0.982758620689655,1,2
"5",0.982758620689655,0.974137931034483,1,2
"6",0.974137931034483,0.956896551724138,1,2
"7",0.939655172413793,0.939655172413793,1,2
"8",0.948275862068966,0.948275862068966,1,2
"9",0.896551724137931,0.844827586206897,1,2
"10",0.879310344827586,0.78448275862069,1,2
"11",0.853448275862069,0.827586206896552,1,2
"12",0.905172413793103,0.896551724137931,1,2
"13",0.870689655172414,0.922413793103448,1,2
"14",0.844827586206897,0.862068965517241,1,2
"15",0.818965517241379,0.25,1,2
"16",0.594827586206897,0.370689655172414,1,2
"17",0.887931034482759,0.887931034482759,1,2
"18",0.922413793103448,0.879310344827586,1,2
"19",0.836206896551724,0.853448275862069,1,2
"20",0.00862068965517241,0.00862068965517241,1,2
"21",0.163793103448276,0.870689655172414,1,2
"22",0.913793103448276,0.905172413793103,1,2
"23",0.810344827586207,0.758620689655172,1,2
"24",0.0517241379310345,0.0258620689655172,1,2
"25",0.0172413793103448,0.0172413793103448,1,2
"26",0.0258620689655172,0.0344827586206897,1,2
"27",0.0431034482758621,0.0431034482758621,1,2
"28",0.0344827586206897,0.0603448275862069,1,2
"29",0.120689655172414,0.0862068965517241,1,2
"30",0.0603448275862069,0.0517241379310345,1,2
"31",0.198275862068966,0.0948275862068965,1,2
"32",0.0775862068965517,0.0775862068965517,1,2
"33",0.0862068965517241,0.267241379310345,1,2
"34",0.405172413793103,0.646551724137931,1,2
"35",0.310344827586207,0.525862068965517,1,2
"36",0.46551724137931,0.280172413793103,1,2
"37",0.396551724137931,0.241379310344828,1,2
"38",0.931034482758621,0.991379310344828,1,2
"39",0.862068965517241,0.913793103448276,0.8,2
"40",0.672413793103448,0.818965517241379,0,2
"41",0.0689655172413793,0.103448275862069,0,2
"42",0.146551724137931,0.224137931034483,0,2
"43",0.172413793103448,0.198275862068966,0,2
"44",0.112068965517241,0.232758620689655,0.6,2
"45",0.827586206896552,0.96551724137931,1,2
"46",0.706896551724138,0.637931034482759,0,2
"47",0.129310344827586,0.112068965517241,0,2
"48",0.181034482758621,0.21551724137931,0,2
"49",0.155172413793103,0.120689655172414,0,2
"50",0.103448275862069,0.439655172413793,0,2
"51",0.28448275862069,0.0689655172413793,0,2
"52",0.137931034482759,0.137931034482759,0,2
"53",0.318965517241379,0.146551724137931,0,2
"54",0.0948275862068965,0.189655172413793,0,2
